2010-10-14,2010-10-20,10357
2010-10-21,2010-10-27,10970
2010-10-28,2010-11-3,17671
2010-11-4,2010-11-10,68337
2010-11-11,2010-11-17,30080
2010-11-18,2010-11-24,27567
2010-11-25,2010-12-1,19181
2010-12-2,2010-12-8,18780
2010-12-9,2010-12-15,18917
2010-12-16,2010-12-22,19849
2010-12-23,2010-12-29,11140
2010-12-30,2011-1-5,10339
2011-1-6,2011-1-12,11413
2011-1-13,2011-1-19,13766
2011-1-20,2011-1-26,8346
2011-1-27,2011-2-2,8492
2011-2-3,2011-2-9,7449
2011-2-17,2011-2-23,14613
2011-2-10,2011-2-16,9156
